s_m,x_m,y_m,psi_rad,kappa_radpm,vx_mps,ax_mps2
55.0347363, 3831.9252828, 73727.4151364, -2.6607668, -0.0000643, 5.0000000, 0.0000000
56.0353679, 3831.0381096, 73726.9523328, -2.6607668, 0.0001535, 5.0000000, 0.0000000
57.0359994, 3830.1510075, 73726.4893928, -2.6603561, 0.0003604, 5.0000000, 0.0000000
58.0366310, 3829.2640724, 73726.0261330, -2.6602526, 0.0000000, 5.0000000, 0.0000000
59.0372626, 3828.3771373, 73725.5628732, -2.6603067, -0.0006894, 5.0000000, 0.0000000
60.0378941, 3827.4898830, 73725.1002255, -2.6615241, -0.0000217, 5.0000000, 0.0000000
61.0385257, 3826.6026187, 73724.6375971, -2.6601428, 0.0010731, 5.0000000, 0.0000000
62.0391573, 3825.7158514, 73724.1740161, -2.6601809, -0.0005714, 5.0000000, 0.0000000
63.0397888, 3824.8288192, 73723.7109423, -2.6604622, 0.0000000, 5.0000000, 0.0000000
64.0404204, 3823.9417870, 73723.2478685, -2.6604622, -0.0001571, 5.0000000, 0.0000000
65.0410520, 3823.0546820, 73722.7849341, -2.6609234, -0.0004504, 5.0000000, 0.0000000
66.0416835, 3822.1673685, 73722.3223996, -2.6610701, -0.0000000, 5.0000000, 0.0000000
67.0423151, 3821.2800549, 73721.8598650, -2.6612301, 0.0001546, 5.0000000, 0.0000000
68.0429467, 3820.3928131, 73721.3971934, -2.6603478, 0.0006602, 5.0000000, 0.0000000
69.0435783, 3819.5058769, 73720.9339356, -2.6602548, -0.0000000, 5.0000000, 0.0000000
70.0442098, 3818.6189408, 73720.4706778, -2.6602548, -0.0000809, 5.0000000, 0.0000000
71.0448414, 3817.7319671, 73720.0074917, -2.6605115, -0.0002703, 5.0000000, 0.0000000
72.0454730, 3816.8448682, 73719.5445456, -2.6606062, -0.0000000, 5.0000000, 0.0000000
73.0461045, 3815.9577693, 73719.0815995, -2.6606517, -0.0001470, 5.0000000, 0.0000000
74.0467361, 3815.0706023, 73718.6187840, -2.6608096, -0.0000562, 5.0000000, 0.0000000
75.0473677, 3814.1834093, 73718.1560183, -2.6608096, 0.0000081, 5.0000000, 0.0000000
76.0479992, 3813.2962200, 73717.6932455, -2.6606483, 0.0002982, 5.0000000, 0.0000000
77.0486308, 3812.4091688, 73717.2302080, -2.6605032, 0.0000000, 5.0000000, 0.0000000
78.0492624, 3811.5221176, 73716.7671705, -2.6605032, 0.0000000, 5.0000000, 0.0000000
79.0498939, 3810.6350664, 73716.3041330, -2.6614087, -0.0010259, 5.0000000, 0.0000000
80.0505255, 3809.7475411, 73715.8420067, -2.6606790, 0.0009164, 5.0000000, 0.0000000
81.0511571, 3808.8604392, 73715.3790665, -2.6606128, 0.0000159, 5.0000000, 0.0000000
82.0517886, 3807.9733446, 73714.9161121, -2.6605493, 0.0000792, 5.0000000, 0.0000000
83.0524202, 3807.0862867, 73714.4530874, -2.6605177, -0.0000000, 5.0000000, 0.0000000
84.0530518, 3806.1992289, 73713.9900627, -2.6605177, -0.0000203, 5.0000000, 0.0000000
85.0536834, 3805.3121616, 73713.5270560, -2.6605883, -0.0000805, 5.0000000, 0.0000000
86.0543149, 3804.4250570, 73713.0641208, -2.6606185, 0.0000000, 5.0000000, 0.0000000
87.0549465, 3803.5379525, 73712.6011856, -2.6605527, 0.0002170, 5.0000000, 0.0000000
88.0555781, 3802.6509485, 73712.1380577, -2.6603156, 0.0000856, 5.0000000, 0.0000000
89.0562096, 3801.7639842, 73711.6748538, -2.6603156, 0.0000000, 5.0000000, 0.0000000
90.0568412, 3800.8770198, 73711.2116499, -2.6604709, -0.0004629, 5.0000000, 0.0000000
91.0574728, 3799.9898411, 73710.7488569, -2.6609316, -0.0001526, 5.0000000, 0.0000000
92.0581043, 3799.1025916, 73710.2861995, -2.6609316, 0.0000838, 5.0000000, 0.0000000
93.0587359, 3798.2153810, 73709.8234676, -2.6606522, 0.0003071, 5.0000000, 0.0000000
94.0593675, 3797.3283125, 73709.3604632, -2.6605405, 0.0000000, 5.0000000, 0.0000000
95.0599990, 3796.4412441, 73708.8974588, -2.6605405, -0.0000362, 5.0000000, 0.0000000
96.0606306, 3795.5541589, 73708.4344865, -2.6606497, -0.0001096, 5.0000000, 0.0000000
97.0612622, 3794.6670229, 73707.9716115, -2.6606864, 0.0000000, 5.0000000, 0.0000000
98.0618938, 3793.7798869, 73707.5087365, -2.6599964, -0.0299242, 5.0000000, 0.0000000
99.0625253, 3792.8798451, 73707.0729237, -2.7224417, -0.0856558, 5.0000000, 0.0000000
100.0631569, 3791.9473824, 73706.7163641, -2.8428329, -0.0894450, 5.0000000, 0.0000000
101.0637885, 3790.9846328, 73706.4441584, -2.8818866, -0.0693025, 5.0000000, 0.0000000
102.0644200, 3790.0063217, 73706.2396094, -2.9960952, -0.1083903, 5.0000000, 0.0000000
103.0650516, 3789.0114080, 73706.1422173, -3.1032335, -0.1089404, 5.0000000, 0.0000000
104.0656832, 3788.0116827, 73706.1536239, 3.0716612, -0.1071615, 5.0000000, 0.0000000
105.0663147, 3787.0186364, 73706.2719115, 2.9637382, -0.1157287, 5.0000000, 0.0000000
106.0669463, 3786.0458254, 73706.5040336, 2.8557187, -0.1104916, 5.0000000, 0.0000000
107.0675779, 3785.1047105, 73706.8419132, 2.7477331, -0.1082929, 5.0000000, 0.0000000
108.0682094, 3784.2058434, 73707.2794380, 2.6392046, -0.1088746, 5.0000000, 0.0000000
109.0688410, 3783.3599987, 73707.8120454, 2.5274995, -0.1063834, 5.0000000, 0.0000000
110.0694726, 3782.5755673, 73708.4315551, 2.4130672, -0.1100848, 5.0000000, 0.0000000
111.0701041, 3781.8639658, 73709.1336192, 2.3041203, -0.1065121, 5.0000000, 0.0000000
112.0707357, 3781.2308878, 73709.9075853, 2.2134600, -0.0887347, 5.0000000, 0.0000000
113.0713673, 3780.6688192, 73710.7348340, 2.1236931, -0.0900508, 5.0000000, 0.0000000
114.0719989, 3780.1834229, 73711.6094438, 2.0508338, -0.0266476, 5.0000000, 0.0000000
115.0726304, 3779.7213643, 73712.4970053, 2.0507826, -0.0000000, 5.0000000, 0.0000000
116.0732620, 3779.2593056, 73713.3845667, 2.0507826, -0.0002492, 5.0000000, 0.0000000
117.0738936, 3778.7974683, 73714.2722433, 2.0502407, -0.0003355, 5.0000000, 0.0000000
118.0745251, 3778.3359290, 73715.1600750, 2.0501975, -0.0000000, 5.0000000, 0.0000000
119.0751567, 3777.8743898, 73716.0479066, 2.0501975, 0.0000172, 5.0000000, 0.0000000
120.0757883, 3777.4128352, 73716.9357303, 2.0502852, 0.0001236, 5.0000000, 0.0000000
121.0764198, 3776.9511709, 73717.8234969, 2.0503384, 0.0000000, 5.0000000, 0.0000000
122.0770514, 3776.4895065, 73718.7112635, 2.0503384, 0.0001956, 5.0000000, 0.0000000
123.0776830, 3776.0276684, 73719.5989397, 2.0507397, 0.0002152, 5.0000000, 0.0000000
124.0783145, 3775.5656391, 73720.4865165, 2.0507495, -0.0000000, 5.0000000, 0.0000000
125.0789461, 3775.1036099, 73721.3740933, 2.0507495, 0.0000049, 5.0000000, 0.0000000
126.0795777, 3774.6415763, 73722.2616678, 2.0507685, 0.0000233, 5.0000000, 0.0000000
127.0802092, 3774.1795220, 73723.1492315, 2.0507777, -0.0016876, 5.0000000, 0.0000000
128.0808408, 3773.7189685, 73724.0375717, 2.0490540, 0.0016176, 5.0000000, 0.0000000
129.0814724, 3773.2569765, 73724.9251678, 2.0507076, -0.0000000, 5.0000000, 0.0000000
130.0821040, 3772.7949844, 73725.8127639, 2.0507076, -0.0000179, 5.0000000, 0.0000000
131.0827355, 3772.3330082, 73726.7003683, 2.0506139, -0.0001336, 5.0000000, 0.0000000
132.0833671, 3771.8711507, 73727.5880344, 2.0505560, -0.0000000, 5.0000000, 0.0000000
133.0839987, 3771.4092932, 73728.4757005, 2.0505560, 0.0000234, 5.0000000, 0.0000000
134.0846302, 3770.9474149, 73729.3633559, 2.0506551, 0.0001280, 5.0000000, 0.0000000
135.0852618, 3770.4854229, 73730.2509520, 2.0507075, -0.0000000, 5.0000000, 0.0000000
136.0858934, 3770.0234309, 73731.1385482, 2.0507075, -0.0001254, 5.0000000, 0.0000000
137.0865249, 3769.5615503, 73732.0262023, 2.0502184, -0.0006014, 5.0000000, 0.0000000
138.0871565, 3769.1002040, 73732.9141342, 2.0499802, -0.0000000, 5.0000000, 0.0000000
139.0877881, 3768.6388576, 73733.8020661, 2.0499802, 0.0001812, 5.0000000, 0.0000000
140.0884196, 3768.1773503, 73734.6899143, 2.0504214, 0.0006432, 5.0000000, 0.0000000
141.0890512, 3767.7152716, 73735.5774652, 2.0515876, 0.0077566, 5.0000000, 0.0000000
142.0896828, 3767.2465160, 73736.4610237, 2.1557789, 0.1895521, 5.0000000, 0.0000000
143.0903143, 3766.6209847, 73737.2408802, 2.3052271, 0.1484206, 5.0000000, 0.0000000
144.0909459, 3765.8872334, 73737.9198535, 2.4561477, 0.1238201, 5.0000000, 0.0000000
145.0915775, 3765.0753615, 73738.5029908, 2.5916831, 0.1406059, 5.0000000, 0.0000000
146.0922091, 3764.1899126, 73738.9664318, 2.7164151, 0.1297448, 5.0000000, 0.0000000
147.0928406, 3763.2517841, 73739.3114558, 2.8629581, 0.1309776, 5.0000000, 0.0000000
148.0934722, 3762.2767993, 73739.5308881, 2.9835178, 0.1377565, 5.0000000, 0.0000000
149.0941038, 3761.2807353, 73739.6142930, 3.1245540, 0.1228430, 5.0000000, 0.0000000
150.0947353, 3760.2817827, 73739.5750393, -3.0278334, 0.1474315, 5.0000000, 0.0000000
151.0953669, 3759.2994976, 73739.3894485, -2.9019027, 0.1413598, 5.0000000, 0.0000000
152.0959985, 3758.3553787, 73739.0677884, -2.7070703, 0.1503046, 5.0000000, 0.0000000
153.0966300, 3757.4672233, 73738.6068740, -2.6613545, 0.0026058, 5.0000000, 0.0000000
154.0972616, 3756.5802721, 73738.1436452, -2.6583382, 0.0038608, 5.0000000, 0.0000000
155.0978932, 3755.6951172, 73737.6769934, -2.6563135, 0.0001106, 5.0000000, 0.0000000
156.0985247, 3754.8100137, 73737.2102435, -2.6613287, -0.0115240, 5.0000000, 0.0000000
157.0991563, 3753.9195949, 73736.7537344, -2.6693449, -0.0014995, 5.0000000, 0.0000000
158.0997879, 3753.0284844, 73736.2985580, -2.6668411, 0.0062115, 5.0000000, 0.0000000
159.1004195, 3752.1402235, 73735.8378535, -2.6619218, 0.0012070, 5.0000000, 0.0000000
160.1010510, 3751.2525164, 73735.3760748, -2.6619218, -0.0000000, 5.0000000, 0.0000000
161.1016826, 3750.3648092, 73734.9142961, -2.6619218, 0.0002038, 5.0000000, 0.0000000
162.1023142, 3749.4771968, 73734.4523366, -2.6588345, 0.0055591, 5.0000000, 0.0000000
163.1029457, 3748.5921673, 73733.9854466, -2.6561552, 0.0000000, 5.0000000, 0.0000000
164.1035773, 3747.7071377, 73733.5185566, -2.6561552, -0.0000000, 5.0000000, 0.0000000
165.1042089, 3746.8221082, 73733.0516666, -2.6561552, -0.0003486, 5.0000000, 0.0000000
166.1048404, 3745.9369166, 73732.5850856, -2.6588488, -0.0043382, 5.0000000, 0.0000000
167.1054720, 3745.0497072, 73732.1223512, -2.6608449, 0.0000000, 5.0000000, 0.0000000
168.1061036, 3744.1624979, 73731.6596168, -2.6608449, 0.0000000, 5.0000000, 0.0000000
169.1067351, 3743.2752886, 73731.1968824, -2.6608449, -0.0000000, 5.0000000, 0.0000000
170.1073667, 3742.3880792, 73730.7341480, -2.6605108, 0.0022328, 5.0000000, 0.0000000
171.1079983, 3741.5019075, 73730.2694334, -2.6570444, 0.0015652, 5.0000000, 0.0000000
172.1086298, 3740.6164632, 73729.8033305, -2.6570444, -0.0000000, 5.0000000, 0.0000000
173.1092614, 3739.7310188, 73729.3372277, -2.6570444, 0.0000000, 5.0000000, 0.0000000
174.1098930, 3738.8455745, 73728.8711249, -2.6570444, -0.0065224, 5.0000000, 0.0000000
175.1105246, 3737.9571636, 73728.4108406, -2.6741194, -0.0038236, 5.0000000, 0.0000000
176.1111561, 3737.0670168, 73727.9539680, -2.6566550, 0.0094316, 5.0000000, 0.0000000
177.1117877, 3736.1811493, 73727.4886760, -2.6608157, -0.0044086, 5.0000000, 0.0000000
178.1124193, 3735.2932354, 73727.0272950, -2.6623698, -0.0000000, 5.0000000, 0.0000000
179.1130508, 3734.4053215, 73726.5659141, -2.6623698, -0.0000000, 5.0000000, 0.0000000
180.1136824, 3733.5174075, 73726.1045331, -2.6623698, 0.0000000, 5.0000000, 0.0000000
181.1143140, 3732.6294936, 73725.6431521, -2.6623698, -0.0000000, 5.0000000, 0.0000000
182.1149455, 3731.7415797, 73725.1817712, -2.6623698, 0.0004935, 5.0000000, 0.0000000
183.1155771, 3730.8538938, 73724.7199520, -2.6612210, 0.0008157, 5.0000000, 0.0000000
184.1162087, 3729.9665851, 73724.2574082, -2.6610597, 0.0000000, 5.0000000, 0.0000000
185.1168402, 3729.0792763, 73723.7948645, -2.6610597, 0.0000000, 5.0000000, 0.0000000
186.1174718, 3728.1919676, 73723.3323207, -2.6610597, 0.0000000, 5.0000000, 0.0000000
187.1181034, 3727.3046588, 73722.8697770, -2.6610597, -0.0093842, 5.0000000, 0.0000000
188.1187349, 3726.4131281, 73722.4156285, -2.6850124, -0.0197185, 5.0000000, 0.0000000
189.1193665, 3725.5127274, 73721.9791170, -2.6859145, 0.0181794, 5.0000000, 0.0000000
190.1199981, 3724.6204942, 73721.5263395, -2.6623346, -0.0126618, 5.0000000, 0.0000000
191.1206297, 3723.7241780, 73721.0857277, -2.7704192, -0.1264421, 5.0000000, 0.0000000
192.1212612, 3722.7783220, 73720.7606513, -2.8594980, -0.2522229, 5.0000000, 0.0000000
193.1218928, 3721.7955446, 73720.6850013, 3.0992733, -0.2209289, 5.0000000, 0.0000000
194.1225244, 3720.8130742, 73720.8290136, 2.8194877, -0.3056531, 5.0000000, 0.0000000
195.1231559, 3719.9164237, 73721.2650408, 2.6177871, -0.1975020, 5.0000000, 0.0000000
196.1237875, 3719.1300896, 73721.8635950, 2.4485036, 0.0154864, 5.0000000, 0.0000000
197.1244191, 3718.3286271, 73722.4547409, 2.3961439, -0.2460623, 5.0000000, 0.0000000
198.1250506, 3717.6919913, 73723.2244843, 2.1974082, -0.0948162, 5.0000000, 0.0000000
199.1256822, 3717.1305683, 73724.0520482, 2.1047578, -0.1188412, 5.0000000, 0.0000000
200.1263138, 3716.6710732, 73724.9401919, 2.0615235, 0.0375434, 5.0000000, 0.0000000
201.1269453, 3716.1782476, 73725.8110457, 2.0795010, -0.0283435, 5.0000000, 0.0000000
202.1275769, 3715.7104205, 73726.6953268, 2.0414184, -0.0159786, 5.0000000, 0.0000000
203.1282085, 3715.2566934, 73727.5871761, 2.0414184, -0.0000000, 5.0000000, 0.0000000
204.1288401, 3714.8029662, 73728.4790254, 2.0414184, -0.0051767, 5.0000000, 0.0000000
205.1294716, 3714.3538784, 73729.3731865, 2.0278980, -0.0114929, 5.0000000, 0.0000000
206.1301032, 3713.9150899, 73730.2724797, 2.0247382, -0.0000000, 5.0000000, 0.0000000
207.1307348, 3713.4763014, 73731.1717728, 2.0247382, -0.0000000, 5.0000000, 0.0000000
208.1313663, 3713.0375128, 73732.0710660, 2.0284350, 0.0074969, 5.0000000, 0.0000000
209.1319979, 3712.5919909, 73732.9670419, 2.0270122, -0.0137338, 5.0000000, 0.0000000
210.1326295, 3712.1588324, 73733.8690359, 2.0159279, -0.0009692, 5.0000000, 0.0000000
211.1332610, 3711.7265399, 73734.7714685, 2.0185187, 0.0009902, 5.0000000, 0.0000000
212.1338926, 3711.2933529, 73735.6734733, 2.0185187, -0.0000000, 5.0000000, 0.0000000
213.1345242, 3710.8601660, 73736.5754781, 2.0185187, 0.0023632, 5.0000000, 0.0000000
214.1351557, 3710.4248492, 73737.4764521, 2.0238626, 0.0035914, 5.0000000, 0.0000000
215.1357873, 3709.9862955, 73738.3758598, 2.0244770, -0.0000000, 5.0000000, 0.0000000
216.1364189, 3709.5477419, 73739.2752675, 2.0244770, -0.0138161, 5.0000000, 0.0000000
217.1370504, 3709.1220302, 73740.1799016, 1.9434128, -0.1208321, 5.0000000, 0.0000000
218.1376820, 3708.8079060, 73741.1299487, 1.8899005, -0.0030067, 5.0000000, 0.0000000
219.1383136, 3708.4966427, 73742.0809329, 1.8845465, -0.0111673, 5.0000000, 0.0000000
220.1389452, 3708.1962980, 73743.0344957, 1.7689469, -0.2069241, 5.0000000, 0.0000000
221.1395767, 3708.0964367, 73744.0301318, 1.6613892, -0.0413213, 5.0000000, 0.0000000
222.1402083, 3708.0378428, 73745.0285783, 1.6021821, -0.1420755, 5.0000000, 0.0000000
223.1408399, 3708.1216760, 73746.0189811, 1.3752850, -0.1100287, 5.0000000, 0.0000000
224.1414714, 3708.3160669, 73747.0005490, 1.3285713, -0.1178826, 5.0000000, 0.0000000
225.1421030, 3708.6238566, 73747.9511807, 1.2236829, -0.0856547, 5.0000000, 0.0000000
226.1427346, 3709.0120020, 73748.8720640, 1.1301276, -0.0416805, 5.0000000, 0.0000000
227.1433661, 3709.4388158, 73749.7771019, 0.9577574, -0.3954191, 5.0000000, 0.0000000
228.1439977, 3710.1733128, 73750.4532507, 0.6944793, -0.0581723, 5.0000000, 0.0000000
229.1446293, 3710.9477431, 73751.0869078, 0.6812425, -0.0149091, 5.0000000, 0.0000000
230.1452608, 3711.7315052, 73751.7089145, 0.6247447, -0.1410506, 5.0000000, 0.0000000
231.1458924, 3712.5916892, 73752.2129517, 0.4759380, -0.0538396, 5.0000000, 0.0000000
232.1465240, 3713.4811140, 73752.6714134, 0.4759380, 0.0000000, 5.0000000, 0.0000000
233.1471555, 3714.3705387, 73753.1298752, 0.4759380, -0.0000000, 5.0000000, 0.0000000
234.1477871, 3715.2599634, 73753.5883369, 0.4759380, 0.0000000, 5.0000000, 0.0000000
235.1484187, 3716.1493882, 73754.0467987, 0.4759380, -0.0000000, 5.0000000, 0.0000000
236.1490503, 3717.0388129, 73754.5052604, 0.4759380, 0.0000000, 5.0000000, 0.0000000
237.1496818, 3717.9282377, 73754.9637222, 0.4759380, 0.0000000, 5.0000000, 0.0000000
238.1503134, 3718.8176624, 73755.4221839, 0.4759380, 0.0035014, 5.0000000, 0.0000000
239.1509450, 3719.7054681, 73755.8837553, 0.4835228, 0.0046557, 5.0000000, 0.0000000
240.1515765, 3720.5911212, 73756.3494615, 0.4841003, -0.0000000, 5.0000000, 0.0000000
241.1522081, 3721.4767742, 73756.8151677, 0.4841003, 0.0000000, 5.0000000, 0.0000000
242.1528397, 3722.3624272, 73757.2808739, 0.4841003, 0.0000000, 5.0000000, 0.0000000
243.1534712, 3723.2480802, 73757.7465801, 0.4841003, 0.0000000, 5.0000000, 0.0000000
244.1541028, 3724.1337333, 73758.2122863, 0.4841003, 0.0000000, 5.0000000, 0.0000000
245.1547344, 3725.0193863, 73758.6779924, 0.4841003, -0.0000000, 5.0000000, 0.0000000
246.1553659, 3725.9050393, 73759.1436986, 0.4772859, -0.0721236, 5.0000000, 0.0000000
247.1559975, 3726.8200751, 73759.5433689, 0.3399948, -0.1112469, 5.0000000, 0.0000000
248.1566291, 3727.7751193, 73759.8391327, 0.2212605, -0.1649732, 5.0000000, 0.0000000
249.1572607, 3728.7645618, 73759.9738554, 0.0578367, -0.1094797, 5.0000000, 0.0000000
250.1578922, 3729.7647676, 73759.9999432, 0.0382208, -0.1013551, 5.0000000, 0.0000000
251.1585238, 3730.7530262, 73759.9240168, -0.2030998, -0.1149587, 5.0000000, 0.0000000
252.1591554, 3731.7344037, 73759.7327548, -0.2179702, -0.1927808, 5.0000000, 0.0000000
253.1597869, 3732.6529062, 73759.3586788, -0.5792641, -0.3664868, 5.0000000, 0.0000000
254.1604185, 3733.3766647, 73758.6760081, -0.8631025, -0.0913781, 5.0000000, 0.0000000
255.1610501, 3734.0381594, 73757.9253996, -0.9160849, -0.1622013, 5.0000000, 0.0000000
256.1616816, 3734.5701605, 73757.0791288, -0.9998139, 0.0174272, 5.0000000, 0.0000000
257.1623132, 3735.1171820, 73756.2417461, -1.0317932, -0.0701590, 5.0000000, 0.0000000
258.1629448, 3735.6043655, 73755.3677489, -1.0710412, -0.0144392, 5.0000000, 0.0000000
259.1635763, 3736.0788819, 73754.4867848, -1.0767220, 0.0000000, 5.0000000, 0.0000000
260.1642079, 3736.5533983, 73753.6058207, -1.0767220, 0.0000000, 5.0000000, 0.0000000
261.1648395, 3737.0279147, 73752.7248566, -1.0767220, 0.0000000, 5.0000000, 0.0000000
262.1654710, 3737.5024311, 73751.8438926, -1.0767220, 0.0001687, 5.0000000, 0.0000000
263.1661026, 3737.9770960, 73750.9630089, -1.0740807, 0.0047732, 5.0000000, 0.0000000
264.1667342, 3738.4559630, 73750.0844021, -1.0717770, 0.0000000, 5.0000000, 0.0000000
265.1673658, 3738.9348299, 73749.2057953, -1.0717770, 0.0000000, 5.0000000, 0.0000000
266.1679973, 3739.4136969, 73748.3271884, -1.0717770, 0.0000000, 5.0000000, 0.0000000
267.1686289, 3739.8925638, 73747.4485816, -1.0717770, -0.0078334, 5.0000000, 0.0000000
268.1692605, 3740.3644961, 73746.5663090, -1.0923606, -0.0176387, 5.0000000, 0.0000000
269.1698920, 3740.8208158, 73745.6757833, -1.0972653, 0.0000000, 5.0000000, 0.0000000
270.1705236, 3741.2771354, 73744.7852577, -1.0972653, 0.0000000, 5.0000000, 0.0000000
271.1711552, 3741.7334550, 73743.8947321, -1.0944090, 0.0113893, 5.0000000, 0.0000000
272.1717867, 3742.1998785, 73743.0094932, -1.0801855, 0.0056796, 5.0000000, 0.0000000
273.1724183, 3742.6713408, 73742.1268909, -1.0801855, 0.0000000, 5.0000000, 0.0000000
274.1730499, 3743.1428031, 73741.2442886, -1.0801855, 0.0040090, 5.0000000, 0.0000000
275.1736814, 3743.6177752, 73740.3636354, -1.0698870, 0.0312348, 5.0000000, 0.0000000
276.1743130, 3744.1198112, 73739.4986590, -0.9615021, 0.0944619, 5.0000000, 0.0000000
277.1749446, 3744.6994960, 73738.6868586, -0.8885129, 0.1809656, 5.0000000, 0.0000000
